experiment_id,window_id,relation_id,source_id,target_id,id02_status,null_id,observed_strength,observed_absolute_strength,paired_observation_count,requested_repetitions,estimable_repetitions,null_admissible,non_admissible_reason,null_mean_absolute_strength,null_median_absolute_strength,null_q95_absolute_strength,empirical_p_value,id02_status_modified,corrected_p_value,passes_alpha_0_05,passes_alpha_0_10
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours,median_interevent_time_hours,eligible,independent_block_permutation,0.9768087719,0.9768087719,8707,300,300,True,,0.1786998171,0.1552002427,0.433759866,0.003322259136,False,0.007973421927,True,True
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours,median_interevent_time_hours,eligible,within_window_value_permutation,0.9768087719,0.9768087719,8707,300,300,True,,0.008897654844,0.007803141431,0.02140598507,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--spatial_dispersion_km,interevent_time_mad_hours,spatial_dispersion_km,eligible,circular_temporal_shift,0.6003236393,0.6003236393,8707,300,300,True,,0.1828686134,0.1524307744,0.5517607428,0.03986710963,False,0.06378737542,False,True
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--spatial_dispersion_km,interevent_time_mad_hours,spatial_dispersion_km,eligible,independent_block_permutation,0.6003236393,0.6003236393,8707,300,300,True,,0.1751287269,0.1611547851,0.3924247661,0.003322259136,False,0.007973421927,True,True
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--spatial_dispersion_km,interevent_time_mad_hours,spatial_dispersion_km,eligible,within_window_value_permutation,0.6003236393,0.6003236393,8707,300,300,True,,0.008508272396,0.007549089048,0.01984145374,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours,temporal_burstiness,eligible,circular_temporal_shift,-0.8709167861,0.8709167861,8671,300,300,True,,0.1425667087,0.1070393662,0.3397140773,0.003322259136,False,0.007973421927,True,True
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours,temporal_burstiness,eligible,independent_block_permutation,-0.8709167861,0.8709167861,8671,300,300,True,,0.1828610751,0.1459107854,0.4416516513,0.003322259136,False,0.007973421927,True,True
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours,temporal_burstiness,eligible,within_window_value_permutation,-0.8709167861,0.8709167861,8671,300,300,True,,0.007705497311,0.006618271243,0.0185361819,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,circular_temporal_shift,0.9721793308,0.9721793308,8719,300,300,True,,0.1266832038,0.1278000081,0.2614466804,0.003322259136,False,0.007973421927,True,True
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,independent_block_permutation,0.9721793308,0.9721793308,8719,300,300,True,,0.1506607628,0.1248289886,0.3464269161,0.003322259136,False,0.007973421927,True,True
