experiment_id,window_id,relation_id,source_id,target_id,id02_status,sampling_scheme,stride_hours,sampled_row_count,paired_observation_count,estimability,non_estimable_reason,strength,absolute_strength,sign,bootstrap_estimable_count,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_ci_width,lag1_autocorrelation_source,lag1_autocorrelation_target,bootstrap_seed,id02_status_modified,nominal_spacing_hours,irregular_spacing_fraction
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,candidate,rolling_full,1,8760,8707,estimable,,-0.2739458103,0.2739458103,-1,300,-0.4323631823,-0.07408730355,0.3582758787,0.9974650069,0.9981598913,3255005680,False,1,0
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--median_depth_km,interevent_time_mad_hours,median_depth_km,candidate,half_window_stride,360,25,24,estimable,,0.6161930522,0.6161930522,1,300,0.3220665013,0.7526226875,0.4305561861,0.5533494325,0.3432299123,228908028,False,1,0
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--median_depth_km,interevent_time_mad_hours,median_depth_km,candidate,non_overlapping,720,13,12,estimable,,0.5890881609,0.5890881609,1,300,0.08725978648,0.8371611932,0.7499014067,,,3878166222,False,1,0
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--median_depth_km,interevent_time_mad_hours,median_depth_km,candidate,rolling_full,1,8760,8707,estimable,,0.5475655167,0.5475655167,1,300,0.4033366249,0.6630056326,0.2596690078,0.9974650069,0.9989476926,1653845945,False,1,0
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours,median_interevent_time_hours,eligible,half_window_stride,360,25,24,estimable,,1,1,1,300,1,1,1.110223025e-16,0.5533494325,0.5056530679,26366101,False,1,0
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours,median_interevent_time_hours,eligible,non_overlapping,720,13,12,estimable,,1,1,1,300,1,1,1.110223025e-16,,,1846273033,False,1,0
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours,median_interevent_time_hours,eligible,rolling_full,1,8760,8707,estimable,,0.9768087719,0.9768087719,1,300,0.9299068022,0.999179689,0.06927288676,0.9974650069,0.9972811975,2402889535,False,1,0
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--spatial_dispersion_km,interevent_time_mad_hours,spatial_dispersion_km,eligible,half_window_stride,360,25,24,estimable,,0.6382608696,0.6382608696,1,300,0.2827423639,0.8199605609,0.537218197,0.5533494325,0.4653103965,378582255,False,1,0
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--spatial_dispersion_km,interevent_time_mad_hours,spatial_dispersion_km,eligible,non_overlapping,720,13,12,estimable,,0.3986013986,0.3986013986,1,300,-0.07142857143,0.7971361259,0.8685646974,,,2291538303,False,1,0
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--spatial_dispersion_km,interevent_time_mad_hours,spatial_dispersion_km,eligible,rolling_full,1,8760,8707,estimable,,0.6003236393,0.6003236393,1,300,0.4570077288,0.7278481426,0.2708404139,0.9974650069,0.9991111308,3216803577,False,1,0
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours,temporal_burstiness,eligible,half_window_stride,360,25,24,estimable,,-0.8617391304,0.8617391304,-1,300,-0.9402003427,-0.7316112691,0.2085890736,0.5533494325,0.6079641407,87179651,False,1,0
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours,temporal_burstiness,eligible,non_overlapping,720,13,12,estimable,,-0.7342657343,0.7342657343,-1,300,-0.9411764706,-0.4706600202,0.4705164504,,,405113458,False,1,0
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours,temporal_burstiness,eligible,rolling_full,1,8760,8671,estimable,,-0.8709167861,0.8709167861,-1,300,-0.9099633084,-0.808750489,0.1012128194,0.9974650069,0.999343589,2111441526,False,1,0
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,half_window_stride,360,25,24,estimable,,0.971594184,0.971594184,1,300,0.9303827204,0.9867008029,0.05631808248,0.3097594362,0.2841029959,3036611456,False,1,0
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,non_overlapping,720,13,12,estimable,,0.961409427,0.961409427,1,300,0.9133145429,1,0.08668545712,,,1280369050,False,1,0
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,rolling_full,1,8760,8719,estimable,,0.9721793308,0.9721793308,1,300,0.9515611393,0.9805627674,0.02900162808,0.9986314761,0.9981598913,4238314957,False,1,0
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,candidate,half_window_stride,360,25,24,estimable,,-0.36,0.36,-1,300,-0.7039139622,0.2148349179,0.9187488802,0.3097594362,0.5056530679,2921303422,False,1,0
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,candidate,non_overlapping,720,13,12,estimable,,-0.1188811189,0.1188811189,-1,300,-0.6334886528,0.3571293419,0.9906179947,,,290971039,False,1,0
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,candidate,rolling_full,1,8760,8707,estimable,,-0.3744843013,0.3744843013,-1,300,-0.530533037,-0.1486068898,0.3819261472,0.9986314761,0.9972811975,1629643961,False,1,0
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--temporal_burstiness,log10_cumulative_energy_joule,temporal_burstiness,candidate,half_window_stride,360,25,24,estimable,,0.4504347826,0.4504347826,1,300,0.1533857924,0.7974213287,0.6440355363,0.3097594362,0.6079641407,1160746979,False,1,0
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--temporal_burstiness,log10_cumulative_energy_joule,temporal_burstiness,candidate,non_overlapping,720,13,12,estimable,,0.3006993007,0.3006993007,1,300,-0.1875794357,0.7909574468,0.9785368825,,,1087099485,False,1,0
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--temporal_burstiness,log10_cumulative_energy_joule,temporal_burstiness,candidate,rolling_full,1,8760,8671,estimable,,0.4489356734,0.4489356734,1,300,0.2746607307,0.6085954263,0.3339346956,0.9986314761,0.999343589,2493553809,False,1,0
CGIE3_ID_03,30d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,candidate,half_window_stride,360,25,24,estimable,,-0.2925276818,0.2925276818,-1,300,-0.661956928,0.2500942586,0.9120511866,0.2841029959,0.5056530679,1388967114,False,1,0
CGIE3_ID_03,30d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,candidate,non_overlapping,720,13,12,estimable,,-0.1087725994,0.1087725994,-1,300,-0.5175316415,0.3079689431,0.8255005846,,,3451597772,False,1,0
CGIE3_ID_03,30d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,candidate,rolling_full,1,8760,8707,estimable,,-0.2956620938,0.2956620938,-1,300,-0.453798764,-0.07059008195,0.383208682,0.9981598913,0.9972811975,1817649888,False,1,0
CGIE3_ID_03,30d,spearman::maximum_magnitude--temporal_burstiness,maximum_magnitude,temporal_burstiness,eligible,half_window_stride,360,25,24,estimable,,0.4049037868,0.4049037868,1,300,0.08226218267,0.7735773476,0.691315165,0.2841029959,0.6079641407,938777454,False,1,0
CGIE3_ID_03,30d,spearman::maximum_magnitude--temporal_burstiness,maximum_magnitude,temporal_burstiness,eligible,non_overlapping,720,13,12,estimable,,0.3438617659,0.3438617659,1,300,-0.1914893617,0.8,0.9914893617,,,2019514780,False,1,0
