experiment_id,relation_id,source_id,target_id,estimator_id,direction,status,estimability,strength,absolute_strength,sign,uncertainty,sample_count,persistence,window_id,timestamp_utc,p_value,non_estimable_reason
CGIE3_ID_02,spearman::maximum_magnitude--median_depth_km,maximum_magnitude,median_depth_km,spearman,undirected,candidate,estimable,-0.0456695123,0.0456695123,-1,,8366,,3d,2025-12-31T23:00:00+00:00,2.931074026e-05,
CGIE3_ID_02,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,spearman,undirected,candidate,estimable,-0.5691115683,0.5691115683,-1,,7429,,3d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::maximum_magnitude--spatial_dispersion_km,maximum_magnitude,spatial_dispersion_km,spearman,undirected,candidate,estimable,-0.1358517721,0.1358517721,-1,,7429,,3d,2025-12-31T23:00:00+00:00,6.135149676e-32,
CGIE3_ID_02,spearman::maximum_magnitude--temporal_burstiness,maximum_magnitude,temporal_burstiness,spearman,undirected,candidate,estimable,0.5554651543,0.5554651543,1,,6411,,3d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::median_depth_km--median_interevent_time_hours,median_depth_km,median_interevent_time_hours,spearman,undirected,candidate,estimable,0.1904741929,0.1904741929,1,,7429,,3d,2025-12-31T23:00:00+00:00,1.219008116e-61,
CGIE3_ID_02,spearman::median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,spearman,undirected,candidate,estimable,0.3355845205,0.3355845205,1,,7429,,3d,2025-12-31T23:00:00+00:00,5.635049323e-195,
CGIE3_ID_02,spearman::median_depth_km--temporal_burstiness,median_depth_km,temporal_burstiness,spearman,undirected,candidate,estimable,-0.2502342405,0.2502342405,-1,,6411,,3d,2025-12-31T23:00:00+00:00,4.047376623e-92,
CGIE3_ID_02,spearman::median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours,spatial_dispersion_km,spearman,undirected,candidate,estimable,0.3159157065,0.3159157065,1,,7429,,3d,2025-12-31T23:00:00+00:00,7.932916806e-172,
CGIE3_ID_02,spearman::median_interevent_time_hours--temporal_burstiness,median_interevent_time_hours,temporal_burstiness,spearman,undirected,candidate,estimable,-0.8153786569,0.8153786569,-1,,6411,,3d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::spatial_dispersion_km--temporal_burstiness,spatial_dispersion_km,temporal_burstiness,spearman,undirected,candidate,estimable,-0.3260219094,0.3260219094,-1,,6411,,3d,2025-12-31T23:00:00+00:00,1.241165136e-158,
CGIE3_ID_02,spearman::depth_mad_km--event_count,depth_mad_km,event_count,spearman,undirected,candidate,estimable,0.2324635743,0.2324635743,1,,8676,,7d,2025-12-31T23:00:00+00:00,8.456156407e-107,
CGIE3_ID_02,spearman::depth_mad_km--interevent_time_mad_hours,depth_mad_km,interevent_time_mad_hours,spearman,undirected,candidate,estimable,-0.04531972965,0.04531972965,-1,,8676,,7d,2025-12-31T23:00:00+00:00,2.412111659e-05,
CGIE3_ID_02,spearman::depth_mad_km--log10_cumulative_energy_joule,depth_mad_km,log10_cumulative_energy_joule,spearman,undirected,candidate,estimable,0.08665480639,0.08665480639,1,,8676,,7d,2025-12-31T23:00:00+00:00,6.190190259e-16,
CGIE3_ID_02,spearman::depth_mad_km--maximum_magnitude,depth_mad_km,maximum_magnitude,spearman,undirected,candidate,estimable,0.07972641941,0.07972641941,1,,8676,,7d,2025-12-31T23:00:00+00:00,1.030824889e-13,
CGIE3_ID_02,spearman::depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,spearman,undirected,candidate,estimable,-0.364965898,0.364965898,-1,,8676,,7d,2025-12-31T23:00:00+00:00,1.331340836e-271,
CGIE3_ID_02,spearman::depth_mad_km--median_interevent_time_hours,depth_mad_km,median_interevent_time_hours,spearman,undirected,candidate,estimable,-0.1407664614,0.1407664614,-1,,8676,,7d,2025-12-31T23:00:00+00:00,1.214845242e-39,
CGIE3_ID_02,spearman::depth_mad_km--spatial_dispersion_km,depth_mad_km,spatial_dispersion_km,spearman,undirected,candidate,estimable,0.07657612754,0.07657612754,1,,8676,,7d,2025-12-31T23:00:00+00:00,9.188381695e-13,
CGIE3_ID_02,spearman::depth_mad_km--temporal_burstiness,depth_mad_km,temporal_burstiness,spearman,undirected,candidate,estimable,0.02679282331,0.02679282331,1,,8578,,7d,2025-12-31T23:00:00+00:00,0.01308057706,
